Outstation,ModulesRef,ModuleLabel,Type,Value,Time,Transition,CurrentState
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/09 00:05:01,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/09 04:02:02,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/03/09 06:52:01,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/09 09:15:02,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/09 14:07:01,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/09 22:05:02,Cleared,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/10 00:05:00,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/10 03:52:01,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/03/10 07:49:20,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/10 09:15:01,Cleared,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/10 13:27:19,Cleared,Waiting
13,I40,Fire Alarm Active,On,1.000000,2023/03/10 13:28:18,Occurred,Waiting
13,I40,Fire Alarm Active,On,0.000000,2023/03/10 13:30:35,Cleared,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/03/10 13:32:38,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/10 14:02:02,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/10 15:08:38,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/10 15:08:38,Cleared,Waiting
13,I40,Fire Alarm Active,On,1.000000,2023/03/10 15:09:37,Occurred,Waiting
13,I40,Fire Alarm Active,On,0.000000,2023/03/10 15:12:54,Cleared,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/03/10 15:14:56,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/10 15:14:56,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/10 15:33:30,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/10 15:33:30,Cleared,Waiting
13,I40,Fire Alarm Active,On,1.000000,2023/03/10 15:34:29,Occurred,Waiting
13,I40,Fire Alarm Active,On,0.000000,2023/03/10 15:36:46,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/10 15:38:46,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/03/10 15:38:47,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/10 19:56:47,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/10 19:56:47,Cleared,Waiting
13,I40,Fire Alarm Active,On,1.000000,2023/03/10 19:57:46,Occurred,Waiting
13,I40,Fire Alarm Active,On,0.000000,2023/03/10 19:58:24,Cleared,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/03/10 20:00:27,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/10 20:00:27,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/10 20:23:35,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/10 20:23:35,Cleared,Waiting
13,I40,Fire Alarm Active,On,1.000000,2023/03/10 20:24:34,Occurred,Waiting
13,I40,Fire Alarm Active,On,0.000000,2023/03/10 20:24:43,Cleared,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/03/10 20:26:46,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/10 20:26:46,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/10 22:10:01,Cleared,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/11 00:05:01,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/11 04:02:02,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/11 06:30:32,Cleared,Waiting
13,I40,Fire Alarm Active,On,1.000000,2023/03/11 06:31:32,Occurred,Waiting
13,I40,Fire Alarm Active,On,0.000000,2023/03/11 06:46:54,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/11 06:48:56,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/11 09:00:02,Cleared,Waiting
13,I40,Fire Alarm Active,On,1.000000,2023/03/11 12:09:49,Occurred,Waiting
13,I40,Fire Alarm Active,On,0.000000,2023/03/11 12:14:29,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/11 14:02:02,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/11 15:07:18,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/11 15:09:46,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/11 22:05:02,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/12 04:07:02,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/12 09:15:00,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/12 14:02:02,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/12 22:10:02,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/13 03:57:01,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/13 09:15:01,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/13 14:02:02,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/03/13 16:52:01,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/13 22:05:01,Cleared,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/13 23:05:02,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/14 03:57:02,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/03/14 07:02:03,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/14 09:15:02,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/14 14:02:01,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/14 18:09:52,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/14 22:00:02,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/15 04:02:01,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/15 09:15:02,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/15 14:02:02,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/15 22:05:01,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/16 04:02:00,Occurred,Waiting
13,I56,AHU17 Supply Flow Fail,On,1.000000,2023/03/16 06:52:03,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/16 09:15:01,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/16 14:07:03,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/16 22:05:01,Cleared,Waiting
13,I56,AHU17 Supply Flow Fail,On,0.000000,2023/03/17 00:05:01,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/17 03:52:02,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/17 09:15:02,Cleared,Waiting
13,I40,Fire Alarm Active,On,1.000000,2023/03/17 13:34:46,Occurred,Waiting
13,I40,Fire Alarm Active,On,0.000000,2023/03/17 13:36:45,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/17 14:02:02,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/17 22:10:01,Cleared,Waiting
13,I46,AHU13 Supply Flow Fail,On,1.000000,2023/03/18 04:02:03,Occurred,Waiting
13,I46,AHU13 Supply Flow Fail,On,0.000000,2023/03/18 08:35:02,Cleared,Waiting
13,I40,Fire Alarm Active,On,1.000000,2023/03/18 08:36:01,Occurred,Waiting
